VGS,ID,GM
1.27000000e-01,8.20605806e-11,2.01794137e-09
1.28000000e-01,8.41033909e-11,2.06901163e-09
1.29000000e-01,8.61986038e-11,2.12319051e-09
1.30000000e-01,8.83497719e-11,2.17736940e-09
1.31000000e-01,9.05533426e-11,2.23066010e-09
1.32000000e-01,9.28110921e-11,2.28794761e-09
1.33000000e-01,9.51292378e-11,2.34745556e-09
1.34000000e-01,9.75060033e-11,2.40607534e-09
1.35000000e-01,9.99413885e-11,2.46691556e-09
1.36000000e-01,1.02439834e-10,2.53086441e-09
1.37000000e-01,1.05003117e-10,2.59525734e-09
1.38000000e-01,1.07630349e-10,2.65965028e-09
1.39000000e-01,1.10322418e-10,2.72759593e-09
1.40000000e-01,1.13085541e-10,2.79776202e-09
1.41000000e-01,1.15917942e-10,2.86792812e-09
1.42000000e-01,1.18821397e-10,2.94164693e-09
1.43000000e-01,1.21801236e-10,3.01669800e-09
1.44000000e-01,1.24854793e-10,3.09263726e-09
1.45000000e-01,1.27986510e-10,3.17212923e-09
1.46000000e-01,1.31199052e-10,3.25250937e-09
1.47000000e-01,1.34491529e-10,3.33422179e-09
1.48000000e-01,1.37867495e-10,3.41904283e-09
1.49000000e-01,1.41329615e-10,3.50608431e-09
1.50000000e-01,1.44879664e-10,3.59579033e-09
1.51000000e-01,1.48521195e-10,3.68638453e-09
1.52000000e-01,1.52252433e-10,3.77964327e-09
1.53000000e-01,1.56080482e-10,3.87689880e-09
1.54000000e-01,1.60006230e-10,3.97459843e-09
1.55000000e-01,1.64029679e-10,4.07496259e-09
1.56000000e-01,1.68156156e-10,4.17932355e-09
1.57000000e-01,1.72388326e-10,4.28546088e-09
1.58000000e-01,1.76727077e-10,4.39293046e-09
1.59000000e-01,1.81174187e-10,4.50528503e-09
1.60000000e-01,1.85737647e-10,4.62030414e-09
1.61000000e-01,1.90414795e-10,4.73754369e-09
1.62000000e-01,1.95212735e-10,4.85878004e-09
1.63000000e-01,2.00132355e-10,4.98001640e-09
1.64000000e-01,2.05172768e-10,5.10569365e-09
1.65000000e-01,2.10343742e-10,5.23669996e-09
1.66000000e-01,2.15646168e-10,5.36992673e-09
1.67000000e-01,2.21083596e-10,5.50581802e-09
1.68000000e-01,2.26657804e-10,5.64481795e-09
1.69000000e-01,2.32373232e-10,5.78825876e-09
1.70000000e-01,2.38234321e-10,5.93525229e-09
1.71000000e-01,2.44243736e-10,6.08579853e-09
1.72000000e-01,2.50405918e-10,6.24078567e-09
1.73000000e-01,2.56725308e-10,6.39932551e-09
1.74000000e-01,2.63204569e-10,6.56008581e-09
1.75000000e-01,2.69845479e-10,6.72661926e-09
1.76000000e-01,2.76657808e-10,6.89759361e-09
