 4.26579519e+00 -7.87730474e+01  4.26579519e+00 -1.28201503e+00  4.26579519e+00 -7.29740893e+01  4.26579519e+00 -1.87723769e+01  4.26579519e+00 -3.91348689e+01 
 4.36515832e+00 -7.88768719e+01  4.36515832e+00 -1.28367663e+00  4.36515832e+00 -7.30764731e+01  4.36515832e+00 -1.89095346e+01  4.36515832e+00 -3.92375315e+01 
 4.46683592e+00 -7.89833147e+01  4.46683592e+00 -1.28552833e+00  4.46683592e+00 -7.31823903e+01  4.46683592e+00 -1.90484172e+01  4.46683592e+00 -3.93414067e+01 
 4.57088190e+00 -7.90915226e+01  4.57088190e+00 -1.28754635e+00  4.57088190e+00 -7.32901821e+01  4.57088190e+00 -1.91890104e+01  4.57088190e+00 -3.94487081e+01 
 4.67735141e+00 -7.92023090e+01  4.67735141e+00 -1.28974032e+00  4.67735141e+00 -7.33998931e+01  4.67735141e+00 -1.93312978e+01  4.67735141e+00 -3.95563581e+01 
 4.78630092e+00 -7.93153756e+01  4.78630092e+00 -1.29209765e+00  4.78630092e+00 -7.35116860e+01  4.78630092e+00 -1.94752613e+01  4.78630092e+00 -3.96657450e+01 
 4.89778819e+00 -7.94307009e+01  4.89778819e+00 -1.29461137e+00  4.89778819e+00 -7.36256947e+01  4.89778819e+00 -1.96208808e+01  4.89778819e+00 -3.97775545e+01 
 5.01187234e+00 -7.95480400e+01  5.01187234e+00 -1.29726949e+00  5.01187234e+00 -7.37421413e+01  5.01187234e+00 -1.97681349e+01  5.01187234e+00 -3.98905365e+01 
 5.12861384e+00 -7.96669735e+01  5.12861384e+00 -1.30005544e+00  5.12861384e+00 -7.38613139e+01  5.12861384e+00 -1.99170003e+01  5.12861384e+00 -4.00053767e+01 
 5.24807460e+00 -7.97885764e+01  5.24807460e+00 -1.30298774e+00  5.24807460e+00 -7.39815667e+01  5.24807460e+00 -2.00674526e+01  5.24807460e+00 -4.01220191e+01 
 5.37031796e+00 -7.99119872e+01  5.37031796e+00 -1.30603987e+00  5.37031796e+00 -7.41043218e+01  5.37031796e+00 -2.02194660e+01  5.37031796e+00 -4.02400131e+01 
 5.49540874e+00 -8.00370506e+01  5.49540874e+00 -1.30925601e+00  5.49540874e+00 -7.42301861e+01  5.49540874e+00 -2.03730136e+01  5.49540874e+00 -4.03594189e+01 
 5.62341325e+00 -8.01648532e+01  5.62341325e+00 -1.31254662e+00  5.62341325e+00 -7.43564666e+01  5.62341325e+00 -2.05280673e+01  5.62341325e+00 -4.04806481e+01 
 5.75439937e+00 -8.02942823e+01  5.75439937e+00 -1.31593367e+00  5.75439937e+00 -7.44857979e+01  5.75439937e+00 -2.06845983e+01  5.75439937e+00 -4.06031614e+01 
 5.88843655e+00 -8.04260195e+01  5.88843655e+00 -1.31942967e+00  5.88843655e+00 -7.46167070e+01  5.88843655e+00 -2.08425770e+01  5.88843655e+00 -4.07276070e+01 
 6.02559586e+00 -8.05600045e+01  6.02559586e+00 -1.32302822e+00  6.02559586e+00 -7.47500285e+01  6.02559586e+00 -2.10019729e+01  6.02559586e+00 -4.08529358e+01 
 6.16595002e+00 -8.06957352e+01  6.16595002e+00 -1.32670984e+00  6.16595002e+00 -7.48851596e+01  6.16595002e+00 -2.11627551e+01  6.16595002e+00 -4.09802276e+01 
 6.30957344e+00 -8.08329306e+01  6.30957344e+00 -1.33046035e+00  6.30957344e+00 -7.50219568e+01  6.30957344e+00 -2.13248923e+01  6.30957344e+00 -4.11080666e+01 
 6.45654229e+00 -8.09720165e+01  6.45654229e+00 -1.33433158e+00  6.45654229e+00 -7.51612661e+01  6.45654229e+00 -2.14883526e+01  6.45654229e+00 -4.12375377e+01 
 6.60693448e+00 -8.11131220e+01  6.60693448e+00 -1.33823263e+00  6.60693448e+00 -7.53023929e+01  6.60693448e+00 -2.16531038e+01  6.60693448e+00 -4.13681605e+01 
 6.76082975e+00 -8.12564354e+01  6.76082975e+00 -1.34221183e+00  6.76082975e+00 -7.54448163e+01  6.76082975e+00 -2.18191139e+01  6.76082975e+00 -4.15005807e+01 
