dc,V
3.82000000e-01,-9.42359089e-05
3.83000000e-01,-1.00400088e-04
3.84000000e-01,-1.03136180e-04
3.85000000e-01,-1.03310892e-04
3.86000000e-01,-1.05222167e-04
3.87000000e-01,-1.09934103e-04
3.88000000e-01,-1.12972493e-04
3.89000000e-01,-1.13290951e-04
3.90000000e-01,-1.16822557e-04
3.91000000e-01,-1.20103932e-04
3.92000000e-01,-1.23454660e-04
3.93000000e-01,-1.28305109e-04
3.94000000e-01,-1.30147417e-04
3.95000000e-01,-1.32315340e-04
3.96000000e-01,-1.34502815e-04
3.97000000e-01,-1.39656829e-04
3.98000000e-01,-1.43129952e-04
3.99000000e-01,-1.45350827e-04
4.00000000e-01,-1.49198847e-04
4.01000000e-01,-1.52950819e-04
4.02000000e-01,-1.58225231e-04
4.03000000e-01,-1.59038001e-04
4.04000000e-01,-1.63235834e-04
4.05000000e-01,-1.68638350e-04
4.06000000e-01,-1.72529163e-04
4.07000000e-01,-1.78077240e-04
4.08000000e-01,-1.82073809e-04
4.09000000e-01,-1.86274181e-04
4.10000000e-01,-1.90517740e-04
4.11000000e-01,-1.93361235e-04
4.12000000e-01,-1.94938499e-04
4.13000000e-01,-2.02533183e-04
4.14000000e-01,-2.09639843e-04
4.15000000e-01,-2.13940310e-04
4.16000000e-01,-2.17108014e-04
4.17000000e-01,-2.21907948e-04
4.18000000e-01,-2.26627645e-04
4.19000000e-01,-2.29966804e-04
4.20000000e-01,-2.36423185e-04
4.21000000e-01,-2.44124875e-04
4.22000000e-01,-2.50327286e-04
4.23000000e-01,-2.53825187e-04
4.24000000e-01,-2.60566644e-04
4.25000000e-01,-2.65628311e-04
4.26000000e-01,-2.68005540e-04
4.27000000e-01,-2.76545967e-04
4.28000000e-01,-2.86059398e-04
4.29000000e-01,-2.89729811e-04
4.30000000e-01,-2.94021831e-04
4.31000000e-01,-3.04177645e-04
4.32000000e-01,-3.10962011e-04
4.33000000e-01,-3.12308305e-04
4.34000000e-01,-3.18621045e-04
4.35000000e-01,-3.28943842e-04
4.36000000e-01,-3.38989077e-04
4.37000000e-01,-3.46234797e-04
4.38000000e-01,-3.50914537e-04
4.39000000e-01,-3.58844199e-04
4.40000000e-01,-3.66571888e-04
4.41000000e-01,-3.71498792e-04
4.42000000e-01,-3.81160577e-04
4.43000000e-01,-3.91947134e-04
4.44000000e-01,-3.95438310e-04
4.45000000e-01,-4.04082647e-04
4.46000000e-01,-4.15276924e-04
4.47000000e-01,-4.24885336e-04
4.48000000e-01,-4.33290209e-04
4.49000000e-01,-4.38999027e-04
4.50000000e-01,-4.45068839e-04
4.51000000e-01,-4.57055940e-04
4.52000000e-01,-4.70073665e-04
4.53000000e-01,-4.77278599e-04
4.54000000e-01,-4.88056407e-04
4.55000000e-01,-4.97168085e-04
4.56000000e-01,-5.06556671e-04
4.57000000e-01,-5.17504236e-04
4.58000000e-01,-5.25517726e-04
4.59000000e-01,-5.35389628e-04
4.60000000e-01,-5.45221869e-04
4.61000000e-01,-5.59568131e-04
4.62000000e-01,-5.73634404e-04
4.63000000e-01,-5.82028068e-04
4.64000000e-01,-5.94001589e-04
4.65000000e-01,-6.05787595e-04
4.66000000e-01,-6.14817045e-04
4.67000000e-01,-6.25705652e-04
4.68000000e-01,-6.39489899e-04
4.69000000e-01,-6.53158748e-04
4.70000000e-01,-6.66991729e-04
4.71000000e-01,-6.78047606e-04
4.72000000e-01,-6.90976530e-04
4.73000000e-01,-7.05353068e-04
4.74000000e-01,-7.18300959e-04
4.75000000e-01,-7.30087566e-04
4.76000000e-01,-7.45067933e-04
4.77000000e-01,-7.59925999e-04
4.78000000e-01,-7.73510731e-04
4.79000000e-01,-7.93225853e-04
4.80000000e-01,-8.06720970e-04
4.81000000e-01,-8.18053629e-04
4.82000000e-01,-8.32689416e-04
4.83000000e-01,-8.48669336e-04
4.84000000e-01,-8.66176767e-04
4.85000000e-01,-8.83739035e-04
4.86000000e-01,-8.98576944e-04
4.87000000e-01,-9.13867543e-04
4.88000000e-01,-9.32239778e-04
4.89000000e-01,-9.50537127e-04
4.90000000e-01,-9.69053563e-04
4.91000000e-01,-9.84847642e-04
4.92000000e-01,-1.00257063e-03
4.93000000e-01,-1.02179817e-03
4.94000000e-01,-1.04257303e-03
4.95000000e-01,-1.06051818e-03
4.96000000e-01,-1.07749930e-03
4.97000000e-01,-1.09918463e-03
4.98000000e-01,-1.12067962e-03
4.99000000e-01,-1.14097980e-03
5.00000000e-01,-1.15726391e-03
5.01000000e-01,-1.17709076e-03
5.02000000e-01,-1.20414606e-03
5.03000000e-01,-1.22788216e-03
5.04000000e-01,-1.24927420e-03
5.05000000e-01,-1.27115513e-03
5.06000000e-01,-1.29326896e-03
5.07000000e-01,-1.31564398e-03
5.08000000e-01,-1.33974145e-03
5.09000000e-01,-1.36397292e-03
5.10000000e-01,-1.38703062e-03
5.11000000e-01,-1.41049907e-03
5.12000000e-01,-1.43715567e-03
5.13000000e-01,-1.46529122e-03
5.14000000e-01,-1.49215048e-03
5.15000000e-01,-1.51799259e-03
5.16000000e-01,-1.54279939e-03
5.17000000e-01,-1.57387319e-03
5.18000000e-01,-1.59887620e-03
5.19000000e-01,-1.62478544e-03
5.20000000e-01,-1.65826006e-03
5.21000000e-01,-1.68848067e-03
5.22000000e-01,-1.71936699e-03
5.23000000e-01,-1.74764706e-03
5.24000000e-01,-1.77800536e-03
5.25000000e-01,-1.81001762e-03
5.26000000e-01,-1.84081172e-03
5.27000000e-01,-1.87211787e-03
5.28000000e-01,-1.90670193e-03
5.29000000e-01,-1.94285767e-03
5.30000000e-01,-1.97491356e-03
5.31000000e-01,-2.00923480e-03
5.32000000e-01,-2.04670248e-03
5.33000000e-01,-2.08286632e-03
5.34000000e-01,-2.11960266e-03
