 1.14815362e+01 -1.88954859e+02  1.14815362e+01 -1.53713662e-01  1.14815362e+01 -1.82697576e+02  1.14815362e+01 -1.51348113e-02  1.14815362e+01 -5.51843156e+01 
 1.17489755e+01 -1.88950567e+02  1.17489755e+01 -1.57243451e-01  1.17489755e+01 -1.82663103e+02  1.17489755e+01 -1.51348121e-02  1.17489755e+01 -5.51843151e+01 
 1.20226443e+01 -1.88946077e+02  1.20226443e+01 -1.60851903e-01  1.20226443e+01 -1.82627297e+02  1.20226443e+01 -1.51348131e-02  1.20226443e+01 -5.51843146e+01 
 1.23026877e+01 -1.88941381e+02  1.23026877e+01 -1.64540604e-01  1.23026877e+01 -1.82590115e+02  1.23026877e+01 -1.51348140e-02  1.23026877e+01 -5.51843140e+01 
 1.25892541e+01 -1.88936469e+02  1.25892541e+01 -1.68311160e-01  1.25892541e+01 -1.82551519e+02  1.25892541e+01 -1.51348149e-02  1.25892541e+01 -5.51843135e+01 
 1.28824955e+01 -1.88931332e+02  1.28824955e+01 -1.72165197e-01  1.28824955e+01 -1.82511468e+02  1.28824955e+01 -1.51348159e-02  1.28824955e+01 -5.51843129e+01 
 1.31825674e+01 -1.88925960e+02  1.31825674e+01 -1.76104359e-01  1.31825674e+01 -1.82469920e+02  1.31825674e+01 -1.51348168e-02  1.31825674e+01 -5.51843124e+01 
 1.34896288e+01 -1.88920342e+02  1.34896288e+01 -1.80130311e-01  1.34896288e+01 -1.82426835e+02  1.34896288e+01 -1.51348178e-02  1.34896288e+01 -5.51843118e+01 
 1.38038426e+01 -1.88914467e+02  1.38038426e+01 -1.84244731e-01  1.38038426e+01 -1.82382173e+02  1.38038426e+01 -1.51348188e-02  1.38038426e+01 -5.51843113e+01 
 1.41253754e+01 -1.88908324e+02  1.41253754e+01 -1.88449316e-01  1.41253754e+01 -1.82335891e+02  1.41253754e+01 -1.51348198e-02  1.41253754e+01 -5.51843107e+01 
 1.44543977e+01 -1.88901901e+02  1.44543977e+01 -1.92745780e-01  1.44543977e+01 -1.82287950e+02  1.44543977e+01 -1.51348208e-02  1.44543977e+01 -5.51843101e+01 
 1.47910839e+01 -1.88895186e+02  1.47910839e+01 -1.97135847e-01  1.47910839e+01 -1.82238309e+02  1.47910839e+01 -1.51348219e-02  1.47910839e+01 -5.51843095e+01 
 1.51356125e+01 -1.88888166e+02  1.51356125e+01 -2.01621257e-01  1.51356125e+01 -1.82186929e+02  1.51356125e+01 -1.51348229e-02  1.51356125e+01 -5.51843089e+01 
 1.54881662e+01 -1.88880827e+02  1.54881662e+01 -2.06203761e-01  1.54881662e+01 -1.82133769e+02  1.54881662e+01 -1.51348239e-02  1.54881662e+01 -5.51843083e+01 
 1.58489319e+01 -1.88873157e+02  1.58489319e+01 -2.10885119e-01  1.58489319e+01 -1.82078791e+02  1.58489319e+01 -1.51348250e-02  1.58489319e+01 -5.51843077e+01 
